audio,text,ruby_text
VOICEACTRESS100_011.wav,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,<ruby>軽妙<rt>けーみょー</rt></ruby><ruby>洒脱<rt>しゃだつ</rt></ruby>なナレーションから、<ruby>情緒<rt>じょーちょ</rt></ruby><ruby>感<rt>かん</rt></ruby><ruby>溢れる<rt>あふれる</rt></ruby><ruby>語り<rt>かたり</rt></ruby>まで、<ruby>幅広い<rt>はばひろい</rt></ruby><ruby>表現<rt>ひょーげん</rt></ruby><ruby>力<rt>りょく</rt></ruby>を<ruby>持つ<rt>もつ</rt></ruby>。
VOICEACTRESS100_012.wav,構造は、鋼製の単一アーチで、橋脚は、石積みである。,<ruby>構造<rt>こーぞー</rt></ruby>は、<ruby>鋼製<rt>こーせー</rt></ruby>の<ruby>単一<rt>たんいつ</rt></ruby>アーチで、<ruby>橋脚<rt>きょーきゃく</rt></ruby>は、<ruby>石積み<rt>いしつみ</rt></ruby>である。
VOICEACTRESS100_013.wav,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。,そこへ、オーナーが<ruby>新しい<rt>あたらしー</rt></ruby>シェフとして、<ruby>腕利き<rt>うできき</rt></ruby>のヒョヌクを<ruby>招く<rt>まねく</rt></ruby>。
VOICEACTRESS100_014.wav,クィーンズアベニューアルファに所属している。,クィーンズアベニューアルファに<ruby>所属<rt>しょぞく</rt></ruby>している。
VOICEACTRESS100_015.wav,一方で、漁業と商業で、リャネス港は繁栄していた。,<ruby>一方<rt>いっぽー</rt></ruby>で、<ruby>漁業<rt>ぎょぎょー</rt></ruby>と<ruby>商業<rt>しょーぎょー</rt></ruby>で、リャネス<ruby>港<rt>こー</rt></ruby>は<ruby>繁栄<rt>はんえー</rt></ruby>していた。
VOICEACTRESS100_016.wav,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。,この、ニューサウスウェールズ<ruby>代表<rt>だいひょー</rt></ruby>チームが、ワラビーズの<ruby>中核<rt>ちゅーかく</rt></ruby>となって<ruby>行く<rt>いく</rt></ruby>。
VOICEACTRESS100_017.wav,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。,ただし、ギャンブル<ruby>依存<rt>いぞん</rt></ruby><ruby>症<rt>しょー</rt></ruby>の<ruby>入院<rt>にゅーいん</rt></ruby><ruby>治療<rt>ちりょー</rt></ruby>を<ruby>行っ<rt>おこなっ</rt></ruby>ている<ruby>病院<rt>びょーいん</rt></ruby>は、わずかである。
VOICEACTRESS100_018.wav,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。,<ruby>他<rt>ほか</rt></ruby>のメジャーなディストリビューションに<ruby>比べ<rt>くらべ</rt></ruby>、セキュリティー<ruby>上<rt>じょー</rt></ruby>の<ruby>問題<rt>もんだい</rt></ruby>の<ruby>修正<rt>しゅーせー</rt></ruby>が、<ruby>遅い<rt>おそい</rt></ruby><ruby>場合<rt>ばあい</rt></ruby>もある。
VOICEACTRESS100_019.wav,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。,ベルガートーア<ruby>前<rt>まえ</rt></ruby>の、ヴェディゲンウーファーパークには、<ruby>戦争<rt>せんそー</rt></ruby>と<ruby>弾圧<rt>だんあつ</rt></ruby>の<ruby>犠牲<rt>ぎせー</rt></ruby><ruby>者<rt>しゃ</rt></ruby>のための<ruby>記念<rt>きねん</rt></ruby><ruby>碑<rt>ひ</rt></ruby>が<ruby>建っ<rt>たっ</rt></ruby>ている。
VOICEACTRESS100_020.wav,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。,<ruby>全米<rt>ぜんべー</rt></ruby>パブリッシャーズ<ruby>協会<rt>きょーかい</rt></ruby>の、ベストストラテジーゲームオブザイヤーを、<ruby>日本<rt>にっぽん</rt></ruby><ruby>人<rt>にん</rt></ruby>として<ruby>受賞<rt>じゅしょー</rt></ruby>。
VOICEACTRESS100_021.wav,痛みは、点滴より鎮痛薬を、静脈投与することで、鎮痛を行う。,<ruby>痛み<rt>いたみ</rt></ruby>は、<ruby>点滴<rt>てんてき</rt></ruby>より<ruby>鎮痛<rt>ちんつー</rt></ruby><ruby>薬<rt>やく</rt></ruby>を、<ruby>静脈<rt>じょーみゃく</rt></ruby><ruby>投与<rt>とーよ</rt></ruby>することで、<ruby>鎮痛<rt>ちんつー</rt></ruby>を<ruby>行う<rt>おこなう</rt></ruby>。
VOICEACTRESS100_022.wav,このときに、浮遊大陸プルヴァマにある、中立国、ビュエルバが、ある情報筋から、バッシュ将軍の処刑と、前王女、アーシェの自害を発表。,このときに、<ruby>浮遊<rt>ふゆー</rt></ruby><ruby>大陸<rt>たいりく</rt></ruby>プルヴァマにある、<ruby>中立<rt>ちゅーりつ</rt></ruby><ruby>国<rt>こく</rt></ruby>、ビュエルバが、ある<ruby>情報<rt>じょーほー</rt></ruby><ruby>筋<rt>すじ</rt></ruby>から、バッシュ<ruby>将軍<rt>しょーぐん</rt></ruby>の<ruby>処刑<rt>しょけー</rt></ruby>と、<ruby>前<rt>ぜん</rt></ruby><ruby>王女<rt>おーじょ</rt></ruby>、アーシェの<ruby>自害<rt>じがい</rt></ruby>を<ruby>発表<rt>はっぴょー</rt></ruby>。
VOICEACTRESS100_023.wav,南西部ウォーレンは、ベイアーマンファームズと、フィッツジェラルドの地区で、構成される。,<ruby>南西<rt>なんせー</rt></ruby><ruby>部<rt>ぶ</rt></ruby>ウォーレンは、ベイアーマンファームズと、フィッツジェラルドの<ruby>地区<rt>ちく</rt></ruby>で、<ruby>構成<rt>こーせー</rt></ruby>される。
VOICEACTRESS100_024.wav,このため、プラズマ中のイオンや、電子の持つ、平均運動エネルギーを、温度で表現することがある。,このため、プラズマ<ruby>中<rt>ちゅー</rt></ruby>のイオンや、<ruby>電子<rt>でんし</rt></ruby>の<ruby>持つ<rt>もつ</rt></ruby>、<ruby>平均<rt>へーきん</rt></ruby><ruby>運動<rt>うんどー</rt></ruby>エネルギーを、<ruby>温度<rt>おんど</rt></ruby>で<ruby>表現<rt>ひょーげん</rt></ruby>することがある。
VOICEACTRESS100_025.wav,その飄々とした人柄が、老若男女に慕われている。,その<ruby>飄々<rt>ひょーひょー</rt></ruby>とした<ruby>人柄<rt>ひとがら</rt></ruby>が、<ruby>老若<rt>ろーにゃく</rt></ruby><ruby>男女<rt>だんじょ</rt></ruby>に<ruby>慕わ<rt>したわ</rt></ruby>れている。
VOICEACTRESS100_026.wav,現在、ニュージャージー州、ムーアズタウンに住んでいる。,<ruby>現在<rt>げんざい</rt></ruby>、ニュージャージー<ruby>州<rt>しゅー</rt></ruby>、ムーアズタウンに<ruby>住ん<rt>すん</rt></ruby>でいる。
VOICEACTRESS100_027.wav,町域にあった、三根山藩は、長岡藩に、米百俵を送ったことで有名。,<ruby>町域<rt>ちょーいき</rt></ruby>にあった、<ruby>三根<rt>みね</rt></ruby><ruby>山<rt>やま</rt></ruby><ruby>藩<rt>はん</rt></ruby>は、<ruby>長岡<rt>ながおか</rt></ruby><ruby>藩<rt>はん</rt></ruby>に、<ruby>米<rt>べー</rt></ruby><ruby>百<rt>ひゃく</rt></ruby><ruby>俵<rt>ひょー</rt></ruby>を<ruby>送っ<rt>おくっ</rt></ruby>たことで<ruby>有名<rt>ゆーめー</rt></ruby>。
VOICEACTRESS100_028.wav,このとき、ペリメーデーは、アムピクトリュオーンに同行して、テーバイに来ていた、リキュムニオスに、妻としてあたえられた。,このとき、ペリメーデーは、アムピクトリュオーンに<ruby>同行<rt>どーこー</rt></ruby>して、テーバイに<ruby>来<rt>き</rt></ruby>ていた、リキュムニオスに、<ruby>妻<rt>つま</rt></ruby>としてあたえられた。
VOICEACTRESS100_029.wav,現在の滑走を目的とした、スキーブーツは、硬いプラスチックシェルと、柔らかいインナーブーツからなる。,<ruby>現在<rt>げんざい</rt></ruby>の<ruby>滑走<rt>かっそー</rt></ruby>を<ruby>目的<rt>もくてき</rt></ruby>とした、スキーブーツは、<ruby>硬い<rt>かたい</rt></ruby>プラスチックシェルと、<ruby>柔らかい<rt>やわらかい</rt></ruby>インナーブーツからなる。
VOICEACTRESS100_030.wav,防氷ブーツは、表面に張られた、ゴム製の薄い膜でできている。,<ruby>防<rt>ぼー</rt></ruby><ruby>氷<rt>こーり</rt></ruby>ブーツは、<ruby>表面<rt>ひょーめん</rt></ruby>に<ruby>張ら<rt>はら</rt></ruby>れた、ゴム<ruby>製<rt>せー</rt></ruby>の<ruby>薄い<rt>うすい</rt></ruby><ruby>膜<rt>まく</rt></ruby>でできている。
VOICEACTRESS100_031.wav,後者の代表が、ウェッジウッドの、ジャスパーウェアである。,<ruby>後者<rt>こーしゃ</rt></ruby>の<ruby>代表<rt>だいひょー</rt></ruby>が、ウェッジウッドの、ジャスパーウェアである。
VOICEACTRESS100_032.wav,キー局が発信する、ニュースネットワーク名を冠したタイトルの、ニュース番組の中では、レギュラー放送が、最も多い。,キー<ruby>局<rt>きょく</rt></ruby>が<ruby>発信<rt>はっしん</rt></ruby>する、ニュースネットワーク<ruby>名<rt>めー</rt></ruby>を<ruby>冠し<rt>かんし</rt></ruby>たタイトルの、ニュース<ruby>番組<rt>ばんぐみ</rt></ruby>の<ruby>中<rt>なか</rt></ruby>では、レギュラー<ruby>放送<rt>ほーそー</rt></ruby>が、<ruby>最も<rt>もっとも</rt></ruby><ruby>多い<rt>おーい</rt></ruby>。
VOICEACTRESS100_033.wav,芸能プロダクション、アミューズのグループ企業。,<ruby>芸能<rt>げーのー</rt></ruby>プロダクション、アミューズのグループ<ruby>企業<rt>きぎょー</rt></ruby>。
VOICEACTRESS100_034.wav,長母音を省略して、エリュシオンとも表記される。,<ruby>長<rt>ちょー</rt></ruby><ruby>母音<rt>ぼいん</rt></ruby>を<ruby>省略<rt>しょーりゃく</rt></ruby>して、エリュシオンとも<ruby>表記<rt>ひょーき</rt></ruby>される。
VOICEACTRESS100_035.wav,森永のおいしい牛乳は、濃い青色に、牛乳瓶をあしらったデザインの、パック牛乳である。,<ruby>森永<rt>もりなが</rt></ruby>のおいしい<ruby>牛乳<rt>ぎゅーにゅー</rt></ruby>は、<ruby>濃い<rt>こい</rt></ruby><ruby>青色<rt>あおいろ</rt></ruby>に、<ruby>牛乳<rt>ぎゅーにゅー</rt></ruby><ruby>瓶<rt>びん</rt></ruby>をあしらったデザインの、パック<ruby>牛乳<rt>ぎゅーにゅー</rt></ruby>である。
VOICEACTRESS100_036.wav,番組冒頭を、東京ムービー製作のアニメーションで、表現する点も、共通していた。,<ruby>番組<rt>ばんぐみ</rt></ruby><ruby>冒頭<rt>ぼーとー</rt></ruby>を、<ruby>東京<rt>とーきょー</rt></ruby>ムービー<ruby>製作<rt>せーさく</rt></ruby>のアニメーションで、<ruby>表現<rt>ひょーげん</rt></ruby>する<ruby>点<rt>てん</rt></ruby>も、<ruby>共通<rt>きょーつー</rt></ruby>していた。
VOICEACTRESS100_037.wav,コミューンは、セーヌ川と、エソンヌ川の、合流地点となっている。,コミューンは、セーヌ<ruby>川<rt>かわ</rt></ruby>と、エソンヌ<ruby>川<rt>かわ</rt></ruby>の、<ruby>合流<rt>ごーりゅー</rt></ruby><ruby>地点<rt>ちてん</rt></ruby>となっている。
VOICEACTRESS100_038.wav,同時に、福井ミラクルエレファンツに、コーチ兼任で、入団することが発表された。,<ruby>同時<rt>どーじ</rt></ruby>に、<ruby>福井<rt>ふくい</rt></ruby>ミラクルエレファンツに、コーチ<ruby>兼任<rt>けんにん</rt></ruby>で、<ruby>入団<rt>にゅーだん</rt></ruby>することが<ruby>発表<rt>はっぴょー</rt></ruby>された。
VOICEACTRESS100_039.wav,夫である小室が、救急車を呼び、都内病院に、緊急搬送される。,<ruby>夫<rt>おっと</rt></ruby>である<ruby>小室<rt>こむろ</rt></ruby>が、<ruby>救急<rt>きゅーきゅー</rt></ruby><ruby>車<rt>しゃ</rt></ruby>を<ruby>呼び<rt>よび</rt></ruby>、<ruby>都内<rt>とない</rt></ruby><ruby>病院<rt>びょーいん</rt></ruby>に、<ruby>緊急<rt>きんきゅー</rt></ruby><ruby>搬送<rt>はんそー</rt></ruby>される。
VOICEACTRESS100_040.wav,ギレスピーは、マッギーを通じて、イネスと知り合った。,ギレスピーは、マッギーを<ruby>通じ<rt>つーじ</rt></ruby>て、イネスと<ruby>知り合っ<rt>しりあっ</rt></ruby>た。
VOICEACTRESS100_041.wav,フォンテーヌブロー様式では、寓意的な絵が、漆喰のモールドに使われている。,フォンテーヌブロー<ruby>様式<rt>よーしき</rt></ruby>では、<ruby>寓意<rt>ぐーい</rt></ruby><ruby>的<rt>てき</rt></ruby>な<ruby>絵<rt>え</rt></ruby>が、<ruby>漆喰<rt>しっくい</rt></ruby>のモールドに<ruby>使わ<rt>つかわ</rt></ruby>れている。
VOICEACTRESS100_042.wav,祭神は、ヴィシュヌ派の聖人、スワーミーナーラーヤン。,<ruby>祭神<rt>さいじん</rt></ruby>は、ヴィシュヌ<ruby>派<rt>は</rt></ruby>の<ruby>聖人<rt>せーじん</rt></ruby>、スワーミーナーラーヤン。
VOICEACTRESS100_043.wav,ハーデースが、ペルセポネーに恋をしたのは、アプロディーテーの、策略であるとされている。,ハーデースが、ペルセポネーに<ruby>恋<rt>こい</rt></ruby>をしたのは、アプロディーテーの、<ruby>策略<rt>さくりゃく</rt></ruby>であるとされている。
VOICEACTRESS100_044.wav,クウェーンバーンチャーンは、小さなコミュニティーで、農業や、商業を中心に、成り立っていたと、考えられている。,クウェーンバーンチャーンは、<ruby>小さな<rt>ちーさな</rt></ruby>コミュニティーで、<ruby>農業<rt>のーぎょー</rt></ruby>や、<ruby>商業<rt>しょーぎょー</rt></ruby>を<ruby>中心<rt>ちゅーしん</rt></ruby>に、<ruby>成り立っ<rt>なりたっ</rt></ruby>ていたと、<ruby>考え<rt>かんがえ</rt></ruby>られている。
VOICEACTRESS100_045.wav,ヴェーザー自転車道や、ミューレンルートに従った、サイクリングツアーは、ペータースハーゲンを、経由する。,ヴェーザー<ruby>自転<rt>じてん</rt></ruby><ruby>車<rt>しゃ</rt></ruby><ruby>道<rt>どー</rt></ruby>や、ミューレンルートに<ruby>従っ<rt>したがっ</rt></ruby>た、サイクリングツアーは、ペータースハーゲンを、<ruby>経由<rt>けーゆ</rt></ruby>する。
VOICEACTRESS100_046.wav,フォーミュラカーは、通常、オープンホイールで、シングルシーターである。,フォーミュラカーは、<ruby>通常<rt>つーじょー</rt></ruby>、オープンホイールで、シングルシーターである。
VOICEACTRESS100_047.wav,同日朝に、大阪難波で、出発セレモニーが開催され、営業運転に、充当された。,<ruby>同日<rt>どーじつ</rt></ruby><ruby>朝<rt>あさ</rt></ruby>に、<ruby>大阪<rt>おーさか</rt></ruby><ruby>難波<rt>なんば</rt></ruby>で、<ruby>出発<rt>しゅっぱつ</rt></ruby>セレモニーが<ruby>開催<rt>かいさい</rt></ruby>され、<ruby>営業<rt>えーぎょー</rt></ruby><ruby>運転<rt>うんてん</rt></ruby>に、<ruby>充当<rt>じゅーとー</rt></ruby>された。
VOICEACTRESS100_048.wav,そして、インデペンデント紙の、読者投票で選ぶ、プレミアリーグ最優秀ゴールキーパーに選ばれた。,そして、インデペンデント<ruby>紙<rt>し</rt></ruby>の、<ruby>読者<rt>どくしゃ</rt></ruby><ruby>投票<rt>とーひょー</rt></ruby>で<ruby>選ぶ<rt>えらぶ</rt></ruby>、プレミアリーグ<ruby>最<rt>さい</rt></ruby><ruby>優秀<rt>ゆーしゅー</rt></ruby>ゴールキーパーに<ruby>選ば<rt>えらば</rt></ruby>れた。
VOICEACTRESS100_049.wav,プレイヤーキャラクターは、宮殿を占拠した、邪悪なクリーチャーに遭遇する。,プレイヤーキャラクターは、<ruby>宮殿<rt>きゅーでん</rt></ruby>を<ruby>占拠<rt>せんきょ</rt></ruby>した、<ruby>邪悪<rt>じゃあく</rt></ruby>なクリーチャーに<ruby>遭遇<rt>そーぐー</rt></ruby>する。
VOICEACTRESS100_050.wav,フィールドマーケティングは、歴史的には、一方通行のコミュニケーションツールとして、考えられてきた。,フィールドマーケティングは、<ruby>歴史<rt>れきし</rt></ruby><ruby>的<rt>てき</rt></ruby>には、<ruby>一方<rt>いっぽー</rt></ruby><ruby>通行<rt>つーこー</rt></ruby>のコミュニケーションツールとして、<ruby>考え<rt>かんがえ</rt></ruby>られてきた。
VOICEACTRESS100_051.wav,デビュー後の数年間は、ベビーフェイスとして、本名で活動。,デビュー<ruby>後<rt>ご</rt></ruby>の<ruby>数<rt>すー</rt></ruby><ruby>年間<rt>ねんかん</rt></ruby>は、ベビーフェイスとして、<ruby>本名<rt>ほんみょー</rt></ruby>で<ruby>活動<rt>かつどー</rt></ruby>。
VOICEACTRESS100_052.wav,学校や病院などの、給食業務で、栄養素を計算する上で、重要な資料のひとつである。,<ruby>学校<rt>がっこー</rt></ruby>や<ruby>病院<rt>びょーいん</rt></ruby>などの、<ruby>給食<rt>きゅーしょく</rt></ruby><ruby>業務<rt>ぎょーむ</rt></ruby>で、<ruby>栄養<rt>えーよー</rt></ruby><ruby>素<rt>そ</rt></ruby>を<ruby>計算<rt>けーさん</rt></ruby>する<ruby>上<rt>うえ</rt></ruby>で、<ruby>重要<rt>じゅーよー</rt></ruby>な<ruby>資料<rt>しりょー</rt></ruby>のひとつである。
VOICEACTRESS100_053.wav,当時、あやしいワールドに常駐していた擬古猫が、空白にて発表。,<ruby>当時<rt>とーじ</rt></ruby>、あやしいワールドに<ruby>常駐<rt>じょーちゅー</rt></ruby>していた<ruby>擬古<rt>ぎこ</rt></ruby><ruby>猫<rt>ねこ</rt></ruby>が、<ruby>空白<rt>くーはく</rt></ruby>にて<ruby>発表<rt>はっぴょー</rt></ruby>。
VOICEACTRESS100_054.wav,裕福なニューヨーカー達は、グレーヴセンド、競馬場や、シープシェッドベイ、競馬場などに集い、海沿いの高級レストランや、ホテルを利用した。,<ruby>裕福<rt>ゆーふく</rt></ruby>なニューヨーカー<ruby>達<rt>たち</rt></ruby>は、グレーヴセンド、<ruby>競馬<rt>けーば</rt></ruby><ruby>場<rt>じょー</rt></ruby>や、シープシェッドベイ、<ruby>競馬<rt>けーば</rt></ruby><ruby>場<rt>じょー</rt></ruby>などに<ruby>集い<rt>つどい</rt></ruby>、<ruby>海沿い<rt>うみぞい</rt></ruby>の<ruby>高級<rt>こーきゅー</rt></ruby>レストランや、ホテルを<ruby>利用<rt>りよー</rt></ruby>した。
VOICEACTRESS100_055.wav,ウォリアーズミックスマーシャルアーツアカデミー所属。,ウォリアーズミックスマーシャルアーツアカデミー<ruby>所属<rt>しょぞく</rt></ruby>。
VOICEACTRESS100_056.wav,ところが、エリュシクトーンは、ニュムペーの制止も聞かずに、デーメーテールの樫を、切り倒した。,ところが、エリュシクトーンは、ニュムペーの<ruby>制止<rt>せーし</rt></ruby>も<ruby>聞か<rt>きか</rt></ruby>ずに、デーメーテールの<ruby>樫<rt>かし</rt></ruby>を、<ruby>切り倒し<rt>きりたおし</rt></ruby>た。
VOICEACTRESS100_057.wav,このジェシー役でステイモスは、エミー賞にノミネートされたこともある。,このジェシー<ruby>役<rt>やく</rt></ruby>でステイモスは、エミー<ruby>賞<rt>しょー</rt></ruby>にノミネートされたこともある。
VOICEACTRESS100_058.wav,スウェーデン移民の両親の許に、マサチューセッツ州、ケンブリッジにて生まれる。,スウェーデン<ruby>移民<rt>いみん</rt></ruby>の<ruby>両親<rt>りょーしん</rt></ruby>の<ruby>許<rt>もと</rt></ruby>に、マサチューセッツ<ruby>州<rt>しゅー</rt></ruby>、ケンブリッジにて<ruby>生まれる<rt>うまれる</rt></ruby>。
VOICEACTRESS100_059.wav,球宴のファン投票でも、人気が偶像化していた、長嶋茂雄に肉薄する。,<ruby>球宴<rt>きゅーえん</rt></ruby>のファン<ruby>投票<rt>とーひょー</rt></ruby>でも、<ruby>人気<rt>にんき</rt></ruby>が<ruby>偶像<rt>ぐーぞー</rt></ruby><ruby>化<rt>か</rt></ruby>していた、<ruby>長嶋<rt>ながしま</rt></ruby><ruby>茂雄<rt>しげお</rt></ruby>に<ruby>肉薄<rt>にくはく</rt></ruby>する。
VOICEACTRESS100_060.wav,母は、ピーターマリッツバーグの精神病院に入院しているときに、ベッシーを産む。,<ruby>母<rt>はは</rt></ruby>は、ピーターマリッツバーグの<ruby>精神<rt>せーしん</rt></ruby><ruby>病院<rt>びょーいん</rt></ruby>に<ruby>入院<rt>にゅーいん</rt></ruby>しているときに、ベッシーを<ruby>産む<rt>うむ</rt></ruby>。
VOICEACTRESS100_061.wav,ポイントガードから、スモールフォワードまでこなせる、総合力が高いユーティリティープレーヤーである。,ポイントガードから、スモールフォワードまでこなせる、<ruby>総合<rt>そーごー</rt></ruby><ruby>力<rt>りょく</rt></ruby>が<ruby>高い<rt>たかい</rt></ruby>ユーティリティープレーヤーである。
VOICEACTRESS100_062.wav,グレッグは、ミシシッピ州、アバディーンにある、オッドフェローズ墓地に埋葬されることになった。,グレッグは、ミシシッピ<ruby>州<rt>しゅー</rt></ruby>、アバディーンにある、オッドフェローズ<ruby>墓地<rt>ぼち</rt></ruby>に<ruby>埋葬<rt>まいそー</rt></ruby>されることになった。
VOICEACTRESS100_063.wav,大当り終了後は、グラディエーターチャンスに突入する。,<ruby>大当り<rt>おーあたり</rt></ruby><ruby>終了<rt>しゅーりょー</rt></ruby><ruby>後<rt>ご</rt></ruby>は、グラディエーターチャンスに<ruby>突入<rt>とつにゅー</rt></ruby>する。
VOICEACTRESS100_064.wav,この菌による病気は、灰色かび病と名づけられているものが多い。,この<ruby>菌<rt>きん</rt></ruby>による<ruby>病気<rt>びょーき</rt></ruby>は、<ruby>灰色<rt>はいいろ</rt></ruby>かび<ruby>病<rt>びょー</rt></ruby>と<ruby>名づけ<rt>なずけ</rt></ruby>られているものが<ruby>多い<rt>おーい</rt></ruby>。
VOICEACTRESS100_065.wav,レギュラーメンバーの顔写真をクリックした後に、ムービープレイヤー風に再生されるという、特異な形式となっている。,レギュラーメンバーの<ruby>顔<rt>かお</rt></ruby><ruby>写真<rt>しゃしん</rt></ruby>をクリックした<ruby>後<rt>あと</rt></ruby>に、ムービープレイヤー<ruby>風<rt>ふー</rt></ruby>に<ruby>再生<rt>さいせー</rt></ruby>されるという、<ruby>特異<rt>とくい</rt></ruby>な<ruby>形式<rt>けーしき</rt></ruby>となっている。
VOICEACTRESS100_066.wav,肝臓への酸素供給は、肝動脈と、低圧系の門脈を介して、行われている。,<ruby>肝臓<rt>かんぞー</rt></ruby>への<ruby>酸素<rt>さんそ</rt></ruby><ruby>供給<rt>きょーきゅー</rt></ruby>は、<ruby>肝<rt>かん</rt></ruby><ruby>動脈<rt>どーみゃく</rt></ruby>と、<ruby>低圧<rt>てーあつ</rt></ruby><ruby>系<rt>けー</rt></ruby>の<ruby>門脈<rt>もんみゃく</rt></ruby>を<ruby>介し<rt>かいし</rt></ruby>て、<ruby>行わ<rt>おこなわ</rt></ruby>れている。
